City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Batagay-Alyta,RU,25.41,overcast clouds,67.8006,130.4114,
53,Sur,OM,82.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
54,Kungalv,SE,53.11,overcast clouds,57.871,11.9805,Nordiska Folkhogskolan Hostel
55,Qaqortoq,GL,41.5,clear sky,60.7167,-46.0333,Hotel Qaqortoq
56,North Platte,US,73.99,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
57,Vao,NC,72.16,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
58,Aswan,EG,73.78,clear sky,24.0934,32.907,Nuba Nile
59,Hithadhoo,MV,83.07,light rain,-0.6,73.0833,Scoop Guest House
60,Tuktoyaktuk,CA,30.13,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
61,Nampula,MZ,67.66,clear sky,-15.1165,39.2666,BUTIK Hotel
62,Lebu,CL,47.95,clear sky,-37.6167,-73.65,Hostal Las Lilas
63,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
64,Plainview,US,64.74,overcast clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
65,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
66,Padang,ID,78.28,overcast clouds,-0.9492,100.3543,Mercure Padang
67,Kudahuvadhoo,MV,83.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
68,Muriwai Beach,NZ,67.96,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
69,College,US,40.59,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
70,Tonota,BW,61.48,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
71,Vardo,NO,49.82,overcast clouds,70.3705,31.1107,Vardø Hotel AS
72,Maningrida,AU,87.21,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
73,Pala,TD,73.06,broken clouds,9.3642,14.9046,Nectar Hôtel de Pala
74,Bako,ET,65.23,broken clouds,5.7833,36.5667,Goh Hotel
75,Quzhou,CN,73.04,clear sky,28.9594,118.8686,Quzhou Jiujiu Business Hotel
76,Green River,US,69.19,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
77,Nikolskoye,RU,47.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
78,Butaritari,KI,81.95,few clouds,3.0707,172.7902,Isles Sunset Lodge
79,Miri,MY,77.88,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
80,High Level,CA,39.22,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
81,Borger,NL,52.81,broken clouds,52.9233,6.7931,Roompot Bospark Lunsbergen
82,Nantucket,US,60.15,overcast clouds,41.2835,-70.0995,Jared Coffin House
